roll,seeded_roll,pretzel
204.0,42.0,121.0
273.0,51.0,119.0
383.0,63.0,144.0
380.0,67.0,156.0
985.0,154.0,241.0
251.0,55.0,140.0
286.0,56.0,144.0
305.0,27.0,146.0
284.0,56.0,166.0
305.0,47.0,162.0
381.0,72.0,130.0
1191.0,147.0,232.0
249.0,38.0,154.0
313.0,58.0,178.0
230.0,47.0,152.0
288.0,49.0,147.0
413.0,43.0,155.0
504.0,68.0,134.0
976.0,118.0,265.0
276.0,50.0,148.0
244.0,49.0,156.0
294.0,40.0,118.0
458.0,95.0,101.0
0.0,0.0,0.0
695.0,111.0,164.0
722.0,127.0,178.0
934.0,123.0,170.0
275.0,61.0,118.0
224.0,47.0,82.0
256.0,34.0,102.0
390.0,43.0,134.0
383.0,61.0,173.0
967.0,137.0,201.0
221.0,40.0,111.0
247.0,44.0,121.0
258.0,24.0,152.0
295.0,51.0,151.0
323.0,61.0,137.0
571.0,75.0,133.0
1135.0,138.0,210.0
420.0,40.0,131.0
300.0,35.0,106.0
272.0,42.0,149.0
309.0,45.0,183.0
349.0,44.0,197.0
589.0,46.0,148.0
815.0,135.0,224.0
254.0,45.0,116.0
377.0,55.0,162.0
224.0,33.0,118.0
226.0,54.0,130.0
407.0,68.0,150.0
443.0,44.0,122.0
1037.0,112.0,179.0
231.0,42.0,101.0
242.0,45.0,132.0
292.0,47.0,126.0
266.0,49.0,149.0
428.0,60.0,141.0
444.0,56.0,138.0
1272.0,116.0,178.0
284.0,34.0,119.0
320.0,57.0,130.0
328.0,63.0,155.0
776.0,46.0,127.0
372.0,53.0,108.0
388.0,51.0,96.0
862.0,96.0,207.0
208.0,35.0,153.0
274.0,53.0,141.0
165.0,29.0,86.0
288.0,64.0,142.0
399.0,74.0,154.0
531.0,100.0,141.0
778.0,143.0,181.0
786.0,112.0,165.0
326.0,70.0,120.0
182.0,56.0,80.0
244.0,33.0,104.0
353.0,55.0,105.0
536.0,54.0,122.0
853.0,96.0,147.0
286.0,25.0,87.0
225.0,39.0,90.0
360.0,59.0,114.0
0.0,0.0,0.0
612.0,59.0,135.0
346.0,47.0,111.0
747.0,95.0,151.0
289.0,18.0,93.0
269.0,44.0,146.0
259.0,43.0,98.0
263.0,46.0,92.0
333.0,61.0,121.0
428.0,54.0,136.0
762.0,101.0,182.0
199.0,29.0,86.0
227.0,55.0,120.0
281.0,38.0,111.0
382.0,44.0,106.0
