calamari,fish,shrimp,chicken,koefte,lamb,steak
6,6,12,40,23,50,36
8,8,5,44,36,37,30
6,5,11,19,12,22,16
4,4,2,28,13,28,22
7,4,9,22,18,29,29
7,4,11,33,23,23,37
3,7,3,39,27,31,22
5,3,10,35,18,38,37
5,13,10,71,46,45,35
1,0,7,32,12,29,18
2,3,5,20,18,26,19
2,4,8,17,13,17,17
8,2,7,37,21,31,30
6,5,9,45,31,44,27
7,12,12,47,32,52,40
10,5,11,49,32,45,54
6,2,5,24,9,22,18
5,4,6,31,18,28,22
3,11,14,40,15,57,39
5,9,14,40,24,25,28
6,6,11,35,23,41,41
5,5,15,44,22,44,50
4,8,16,38,26,39,50
8,5,10,30,17,28,31
5,7,2,25,19,29,28
5,6,15,31,25,23,28
4,10,9,33,21,34,50
4,7,16,44,18,50,40
0,3,2,1,2,0,4
25,14,23,78,71,63,59
3,4,6,32,19,40,26
0,3,7,24,21,22,24
2,7,8,39,21,31,17
7,7,12,38,21,27,24
5,5,8,38,24,36,43
7,3,16,43,21,37,23
8,12,27,67,35,70,59
6,4,13,22,13,13,24
3,10,4,22,15,30,19
2,5,10,29,18,29,30
4,7,10,36,22,20,27
3,4,5,29,20,41,26
7,7,19,36,22,48,36
4,10,13,57,43,57,44
1,1,12,24,22,16,22
4,5,7,30,30,26,18
4,6,10,25,21,22,21
5,3,16,33,21,24,18
7,5,15,52,20,31,33
4,6,14,42,25,36,27
6,9,14,54,44,48,48
4,7,8,37,21,24,29
4,8,6,27,22,21,26
4,5,5,38,32,33,19
1,5,11,30,18,33,30
4,7,11,33,21,33,26
5,11,9,35,31,34,27
13,7,11,46,27,50,47
1,3,7,19,8,16,15
4,11,4,26,14,14,13
3,5,15,23,21,28,30
2,7,13,24,18,24,22
7,4,9,35,11,25,24
9,5,15,42,29,35,26
11,11,28,57,48,50,55
4,11,5,27,16,29,21
3,3,8,21,14,31,24
5,10,11,24,14,28,22
4,10,12,29,13,35,20
3,3,9,21,30,27,23
5,8,10,28,18,36,26
6,16,12,58,44,40,38
4,0,6,10,11,18,13
2,1,3,32,14,20,30
4,5,9,31,24,28,33
1,11,12,28,24,25,18
7,3,15,43,11,34,30
7,4,11,32,38,57,30
3,7,12,42,25,29,37
4,4,10,17,5,13,25
6,6,11,42,42,46,53
1,3,1,3,4,7,5
0,0,0,0,0,0,0
4,0,3,12,2,16,18
11,5,12,54,34,44,44
7,5,17,52,31,40,40
6,5,4,27,10,18,19
8,7,16,62,38,48,42
3,2,1,11,5,9,8
0,4,1,21,13,13,10
7,6,16,45,30,37,35
8,9,11,46,33,46,35
4,6,10,45,26,26,43
2,5,7,26,27,34,20
2,3,5,25,19,38,32
8,2,7,31,19,16,19
4,7,9,26,16,23,21
5,4,7,31,21,34,27
12,3,9,37,27,34,24
11,7,18,55,52,57,43
2,1,10,28,14,12,13
2,5,13,26,15,25,17
11,3,10,39,17,28,27
9,5,5,37,25,43,29
4,9,12,24,24,36,30
9,9,11,36,19,39,29
10,11,16,61,58,66,42
2,4,4,30,10,30,12
2,1,1,20,16,22,14
6,3,8,29,19,19,19
8,10,11,35,23,45,23
6,5,10,26,17,15,23
6,8,8,27,19,21,21
7,4,10,51,33,64,48
4,6,7,32,13,24,32
1,5,3,14,10,14,11
